,country,description,points,price,variety,winery,Colour,Color,RW
1865,US,"This is a very sweet, unctuous dessert wine, with the flavor and texture of honey. Made from Viognier, it has decadent apricot, peach, tangerine and crème brûlée notes that combine in a dense, delicious mélange.",93,14.0,Viognier,Novy,White,0.0,1.0
1866,US,"Another unoaked Chard hits the market, and with good results at a good price. Nothing but juicy peach, pear and pineapple flavors and crisp acidity. Oak probably would have brought it down.",85,10.0,Chardonnay,Novella,White,0.0,1.0
1867,Italy,"Cartizze is the most celebrated vineyard cru in the Prosecco area and this expression lives up to its reputation very nicely. It offers delicate floral and mineral tones that create a smooth, feminine personality.",88,30.0,Glera,Bortolin,White,0.0,1.0
1868,France,"This is an easy-to-like crowd pleaser, with clean scents of mixed nuts and a zesty, crisp, medium-bodied palate. Finishes earthy and dry. Drink now.",85,18.0,Pinot Gris,Pierre Sparr,White,0.0,1.0
1869,France,"A simple, fresh, citrusy wine with attractive floral aromas. There are flavors of kiwis and white peaches, which give an attractive lift.",86,10.0,Chardonnay,Cave des Vignerons de Prisse,White,0.0,1.0
1870,US,"Fresh red apples waft from nose to palate on this semidry Riesling. It's vivaciously tart but concentrated in fresh lemon, lime and tangerine flavors. The finish is moderately long but delightfully honeyed.",88,15.0,Riesling,Standing Stone,White,0.0,1.0
1871,Chile,"Other than notes of white flowers and green herbs on the nose, this wine is all about canned peas and beans. The palate has texture and flesh, but the flavors are vegetal.",81,9.0,Sauvignon Blanc,Santa Ema,White,0.0,1.0
1872,US,"Dry, oaky and tart in citrus and tropical fruits, this Chard teeters on the edge of everyday drinkability and white tablecloth sophistication. The layers of buttercream, crème brûlée and vanilla custard tilt the balance toward elegance.",90,18.0,Chardonnay,Laetitia,White,0.0,1.0
1873,France,"The simple white Burgundy from the Vincent family of Château de Fuissé comes from the Mâcon region. It's a light, fresh and appleitinged clean wine with an attractive touch of toast.",85,18.0,Chardonnay,Vincent,White,0.0,1.0
1874,US,"A simple wine that straddles the balance between grassy, citrusy flavors and riper, more melony ones. It's crisp and dry and offers pleasure without a great deal of complexity, although there are some oaky, leesy notes. From Santa Ynez and Santa Maria valleys.",86,16.0,Sauvignon Blanc,Royal Oaks,White,0.0,1.0
1875,US,"The aim here seems to be to avoid ripe, opulent fruit in favor of an elegantly streamlined wine you might call Chablisian. The result is bone dry, high in aciditiy and lean, with mineral and citrus flavors. This is against the grain these days for fruity Chards.",85,40.0,Chardonnay,Nickel & Nickel,White,0.0,1.0
1876,Italy,"A new product from the Tommasi family (celebrated for its Amarone and other hearty red wines), this is light and fresh, with aromas of citrus, stone fruit and white flowers.",86,13.0,Glera,Tommasi,White,0.0,1.0
1877,France,"Intense green plum, topped with pineapple sweetness and acidity, give this wine fine density of flavor. The fruit dominates, the wood a hint in the background, just offering some extra spice. There is a lively, juicy green and white fruit freshness to the finish.",89,71.0,Chardonnay,Xavier Monnot,White,0.0,1.0
1878,Germany,"Starts off with sulfury notes reminiscent of burnt matchstick; slightly rubbery. But with airing, subtle citrus and floral notes emerge, unfolding into baked apple, pear and melon flavors on the palate. This shows balance, elegance and finesse on the crisp, long finish—just give it some time in a decanter if you're going to be drinking it soon. Imported by Chapin Cellars.",88,20.0,Riesling,Willi Haag,White,0.0,1.0
1879,Italy,"Il Musico is a Passito dessert wine from Sicily made with aromatic Moscato grapes that seems to have all the bright intensity of the southern Italian sun inside. The bouquet is redolent of jasmine, orange blossom, almond paste and white peach. In the mouth, the wine is smooth and soft without being heavy or fat.",90,26.0,Moscato,Benanti,White,0.0,1.0
1880,France,"Fruity and juicy, this is an attractive blend of Sémillon and Sauvignon Blanc, giving a tight, mineral-driven wine. With its pink grapefruit and crisp green apple fruits, it is young and can age, although not for long. Drink from 2016.",85,14.0,Bordeaux-style White Blend,Château Grand Jean,White,0.0,1.0
1881,Chile,"Lemon, apple and other standard aromas give it a familiar if unspectacular opening. The palate is full, mildly creamy and offers decent acidity in support of peach and nectarine flavors. Solid as a whole for $12 Chilean Chardonnay.",86,12.0,Chardonnay,Errazuriz,White,0.0,1.0
1882,Austria,"This hugely mineral wine boasts a great structure and full body. Its weight is balanced with peach, pear and pineapple flavors that give it freshness, fruitiness and also refreshing, crisp acidity.",91,45.0,Riesling,Hiedler,White,0.0,1.0
1883,Austria,"Bright and dry, this is a mineral, structured wine. The freshness comes from the green apple skin flavors, as well as the initially overwhelming acidity, which carries delicious citrus and white currant crispness.",93,51.0,Riesling,F X Pichler,White,0.0,1.0
1884,US,"Dusty, chalky tones accent fresh apple and pear flavors throughout this minerally off-dry wine. Honed and steely on the palate, it finishes briskly on a tart, lemony note. Refreshing and quaffable in style.",87,20.0,Riesling,Lamoreaux Landing,White,0.0,1.0
1885,US,"Richly opulent, this is creamy and nicely tart, with an oaky edge to the nectarine, orange, mango and honeysuckle flavors. The wine remains elegant despite all of its power.",92,38.0,Chardonnay,Pride Mountain,White,0.0,1.0
1886,France,"Bony and austere, the palate is marked by tart flavors and hints of underdeveloped stone fruit. It is crisp and clean, offering a distinctive, different take on white wine from the Southern Rhône.",83,21.0,Rhône-style White Blend,Domaine du Pegau,White,0.0,1.0
1887,Chile,"Punchy citrus and minerally aromas open this fresh SB. A juicy, citric palate points in the right direction, while this tastes like tangerine and orange peel mixed with lime and green herbs. A crisp, persistent finish closes it out.",89,17.0,Sauvignon Blanc,Concha y Toro,White,0.0,1.0
1888,Italy,"The oak element is strong here and not totally integrated. Aromas of toasted wood and nut rise far above the fruit, which is delicate and low-key to begin with. You'll get tons of butter, almond and pineapple.",86,21.0,Chardonnay,Tormaresca,White,0.0,1.0
1889,Italy,"A big, bold expression of Gewürztraminer that opens with bright aromas of natural rubber, passion fruit and candied fruit. It shows huge intensity and a touch of silky sweetness on the close.",90,60.0,Gewürztraminer,Cantina Terlano,White,0.0,1.0
1890,Australia,"From its floral, lime-driven aromas to its citrus and baked-apple flavors, this is a textbook Riesling. It's plump and friendly, offering a mouthfilling texture and easy-drinking appeal at a bargain price. Drink now.",88,12.0,Riesling,Leasingham,White,0.0,1.0
1891,US,"A blend of 54% Roussanne, 29% Marsanne and 17% Viognier from the sought-after vineyard site Alder Springs, this is an estate wine made in small quantities, gorgeous in apricot and white peach aromatics. Completed by a mouth-coating texture and crisp acidity on the finish, it offers balance and effusive minerality.",88,39.0,Rhône-style White Blend,Alder Springs,White,0.0,1.0
1892,US,"Grass and apple-flesh notes are wrapped in a slightly reductive, oily frame on this blend of 55% Sauvignon Blanc, 18% Loureiro, 15% Verdelho, 7% Grenache Blanc and 5% Chardonnay. The flavors are also a tad tarry, with green-apple peels, lime zest, candied pear and dried grapefruit.",86,28.0,White Blend,Marianello,White,0.0,1.0
1893,US,"A linear expression of lemon zest and quince, this is a creamy-textured blend of 50% Marsanne, 29% Roussanne and 21% Viognier with a quick, crisp finish.",87,25.0,Rhône-style White Blend,Terre Rouge,White,0.0,1.0
1894,Argentina,"Apple and peach aromas are slightly waxy and show a spot of petrol. This is citrusy but full in body, with flavors of apple, pear, melon and citrus. A plump, basic finish is monotone, but clean and fruity.",85,12.0,Chardonnay,Alfredo Roca,White,0.0,1.0
1895,US,"This Chardonnay, a blend of various coastal vineyards, is marked by high acidity and great dryness. It is emphatically not a soft, honeyed fruit gusher. The sleek minerality and elusive citrus fruit flavors have just the right touch of buttery, toasted oak. Drink now.",91,40.0,Chardonnay,Sonoma-Cutrer,White,0.0,1.0
1896,France,"This is not a particularly flavorful or aromatic wine, but it succeeds nonetheless because of its creamy texture and admirable weight on the palate. It does deliver nuanced and restrained notes of melon, citrus, fennel and crushed stone, all of which mingle easily on the long, mouthwatering finish. Best now and over the next few years.",90,27.0,Marsanne,Les Vins de Vienne,White,0.0,1.0
1897,Spain,"Superclean and inviting on the nose, with lemon, melon, apple and stony aromas. The palate has a round, pleasant, chiseled feel and flavors of green fruits including kiwi, honeydew melon and apple. Turns a bit sweet on the finish, but not sugary. Really nice for $15 Spanish Chardonnay.",89,15.0,Chardonnay,Viñas del Vero,White,0.0,1.0
1898,Spain,"Strange that a 2006 wine will already seem old, but thus is the bane of Somontano, a region striving for better wines but not always hitting the target. This Macabeo-Chardonnay blend goes heavy on the melon and apple character, and in the end it teeters on cider-like.",82,9.0,White Blend,Bodegas Pirineos,White,0.0,1.0
1899,US,"Made in a sweet style, this wine is balanced with good acidity. It's upfront in citrus fruit, mango, white flower, vanilla, honey and exotic spice flavors.",86,19.0,Gewürztraminer,Daniel Gehrs,White,0.0,1.0
1900,US,"Nicely perfumed with a musky/grapey scent, this low alcohol (10.4%) sweet Riesling is pleasant and clean, but a bit attenuated. It has plenty of sugary honey and some simple canned peach fruit, but stops there.",85,12.0,Riesling,Columbia Winery,White,0.0,1.0
1901,US,"This spritzy, sweet wine could serve well as a mixer for many hot weather punch drinks.",85,13.0,Moscato,Girly Girl,White,0.0,1.0
1902,Italy,"This structured wine has subtle aromas of apples, vanilla and toasted notes. These carry over to the linear palate together with pear, mineral, lemon zest and lively acidity. Pair it with baked pasta dishes or grilled chicken.",89,15.0,Pinot Grigio,Mezzacorona,White,0.0,1.0
1903,US,"Easy to like for its crisp, mouthwatering acidity and flavors of lemons and limes, figs and vanilla. A nice, everyday wine to drink with roast chicken or as a cocktail sipper.",85,19.0,Pinot Gris,Surfrider,White,0.0,1.0
1904,France,"Crisp and fresh with lively flavors of apple slices, clementine supremes, nectarine and a touch of honeysuckle. Lighter weight with good balance and a clean finish. The 2009 should be available, so drink up the '08 now.",85,9.0,Sauvignon Blanc,Les Vignerons de la Méditerranée,White,0.0,1.0
1905,US,"This Chardonnay is striking in its ability to convey marshmallow roasting over a campfire. It's full-bodied and lush, its rich fruit core of apple and pear seemingly dressed in clarified butter. That richness, however, doesn't weigh down the palate; it finishes with refinement.",90,28.0,Chardonnay,David Bruce,White,0.0,1.0
1906,Argentina,"Apple, pear and oak aromas blend well. The palate on this tropical-leaning Chardonnay tastes citrusy but soft, with more flesh than acid. Flavors of nectarine, citrus and melon are good but not overly refined. Feels wide on the finish.",86,10.0,Chardonnay,Las Moras,White,0.0,1.0
1907,Chile,"A mineral touch graces the bouquet, which is otherwise regular and salinic, with a touch of sweet animal cracker. Medium in weight, with citrusy acidity, pithy grapefruit and lime flavors. Tangy but calm on the finish, with a final dose of citrus pith.",86,11.0,Sauvignon Blanc,François Lurton,White,0.0,1.0
1908,Chile,"Toasty, oak-based spice and baked-apple aromas are sweet and woody, while the rest of the wine is resiny, with flavors of cinnamon, spiced applesauce and banana. Finishes with little fruit and a lot of faux oak flavor. Sticky as well.",84,13.0,Chardonnay,Lapostolle,White,0.0,1.0
1909,France,"This village wine is full of ripe, open tropical fruits and an attractive caramel touch. The whole is wrapped in clean acidity and a delicious lift to the finish.",87,50.0,Chardonnay,Antonin Rodet,White,0.0,1.0
1910,New Zealand,"This is showing a bit of age, with honeyed overtones creeping in atop the peach and herb flavors, but also shows decent weight and a dry, mineral-tinged finish. Drink soon. Imported by Pelco Inc.",86,10.0,Sauvignon Blanc,Kirkland Signature,White,0.0,1.0
1911,US,"Sourced from mature plantings in cool sites, this exemplary Riesling is technically off dry, but retains its apple-fresh snap and tang. The sweet/tart fruit flavors include abundant peaches, nectarines and apples, and the mouthfeel is ripe and full, the finish lingering.",90,15.0,Riesling,Seven Hills,White,0.0,1.0
1912,Chile,"Toasty but nice on the nose, with mineral, lemon, green banana and melon aromas to ponder. The palate is full but low in acidity, thus it's soft and starting to fade. In the meantime, there are woody, toasty flavors mixed with sweet pear and banana on the finish.",87,12.0,Chardonnay,Veramonte,White,0.0,1.0
1913,Italy,"This lively, affordable Soave has opening and closing notes of apple, pear and wet stones. The wine is nicely poised—it has crisp acidity, yet a smooth, evenly textured mouthfeel. It finishes bright and long. This would pair well with a shrimp risotto. Best Buy.",88,12.0,White Blend,Gini,White,0.0,1.0
1914,South Africa,"The fourth vintage of this wine is a winner thanks to its superb balance and evolution in the mouth. It starts off somewhat light and dainty with hints of clover, ginger and ripe pear, but then transitions to a rich palate offering flavors of wood-grilled red apple, cinnamon and orange rind. Drink now.",88,18.0,Chardonnay,Edgebaston,White,0.0,1.0
1915,US,"This bottling from the family's smallest vineyard is as special as the three-acre site itself, offering intriguing chive blossom aromas on the nose alongside key lime and pungent honeydew. The palate is laser focused and tense with acidity and structure, showing lime pith, pink grapefruit zest and a chalky minerality reminiscent of crushed sea shell on the finish.",94,36.0,Chardonnay,Talley,White,0.0,1.0
1916,Spain,"The nose on this Viura is flat, with walnut oil and dusty apple notes. The mouthfeel is solid, while the flavors suggest dry apricot, apple and nutty notes. This is dry and modest on the finish.",83,11.0,Viura,Taron,White,0.0,1.0
1917,Spain,"Nice, simple and still showing staying power for an '09. Tastes of white stone fruits and melon, and shows body and adequate acidity. Not the most citric or angular Verdejo; it's more round and easy. Finishes clean with no funk. Uncomplicated white wine for immediate consumption.",86,13.0,Verdejo,Ermita de Nieve,White,0.0,1.0
1918,Italy,"This is a creamy, generous Prosecco Extra Dry with forward fruit flavors of mature peach, melon and honey. The wine is a bit sticky in the mouth and offers chewy fruit and lingering sweetness on the close.",85,25.0,Prosecco,Vigne Matte,White,0.0,1.0
1919,US,"Dry farmed, Dijon clone Chardonnay shines at this estate. It's stylish, sharp, concentrated and deep, matching tart tree-fruit flavors to a broad streak of buttery oak. It's tightly focused and holds through a long finish. This could certainly be cellared for at least a half decade.",92,30.0,Chardonnay,Shea,White,0.0,1.0
1920,US,"An off-dry wine, this has some sugary flavors that accompany the peach, lemon custard, vanilla bean and exotic spice flavors, but they're balanced and brightened by a gorgeous bite of acidity.",87,20.0,Gewürztraminer,Armida,White,0.0,1.0
1921,US,"Tastes like a pineapple-flavored Chinese sweet and sour sauce, with sugary fruit and tart acidity. The texture is rich and buttercreamy.",84,22.0,Roussanne,Domaine de la Terre Rouge,White,0.0,1.0
1922,France,"This is a round, rich and soft style of Chardonnay. It feels generous, and its yellow fruit flavor pushes through the acidity. It slowly opens to reveal complex tropical-fruit notes, and it will develop further, so give it another four years.",92,75.0,Chardonnay,Louis Jadot,White,0.0,1.0
1923,US,"Except for some excessive sweetness, this is a brilliant wine. It's bright and clean in acidity, offering pineapple, lime and golden mango flavors that go on and on into the spicy finish. No question how delicious it is, but could be a bit drier and firmer.",87,18.0,Chardonnay,Kynsi,White,0.0,1.0
1924,France,"A superb wine. It opens slowly in the mouth, revealing layers of toast followed by intense white and green fruits. Spice and nutmeg accent the kiwi, pepper and pineapple notes, all concentrated around a core of minerality. Age for at least four years.",94,152.0,Chardonnay,Domaine Leflaive,White,0.0,1.0
1925,France,"The aromas here have matured into vanilla, toasted nuts and butter, while the palate still shows a crisp lime note. Zesty, short-to-medium finish. Try with simple fish preparations. Drink now.",85,18.0,Pinot Blanc,Hugel,White,0.0,1.0
1926,New Zealand,"Light and fresh, the emphasis here is on green herbs and citrus, with grapefruit, jicama and a garnish of tomato leaves.",84,21.0,Sauvignon Blanc,Rabbit Ranch,White,0.0,1.0
1927,Mexico,"Here's a true Sauvignon Blanc with spunky green aromas and plenty of grapefruit. It feels citric and lemony on the tongue, with citrusy flavors of tangerine and lime. It finishes tight and zesty, like a good Sauvignon Blanc should.",86,13.0,Sauvignon Blanc,Monte Xanic,White,0.0,1.0
1928,France,"This selection is fruity and refreshing, yet it has a full body and a ripe character. Taut and tangy on the finish, this wine can age for another 6–9 months to allow the structure to soften.",85,17.0,Chardonnay,Domaine Luquet,White,0.0,1.0
1929,France,"Seems a little sour and earthy at first, but it just needs some time in the glass to come around. It's a reasonably plump Riesling, with lemon custard and lemon rind flavors and a lingering finish. Easy to drink.",85,14.0,Riesling,Pierre Sparr,White,0.0,1.0
1930,Germany,"Despite weighing in at 12% alcohol, this seems light in body and sweet in style, with honeyed pineapple aromas and flavors of apple skin and lime. Finishes stridently, with a dusty texture.",86,20.0,Riesling,Louis Guntrum,White,0.0,1.0
1931,US,"Here's the latest entry into the red-hot unoaked Chardonnay category in America, and it's a solid hit. Dry and crisp, it's rich in apricots, pineapples, tangerines and spices.",85,10.0,Chardonnay,Jewel,White,0.0,1.0
1932,US,"At the equivalent of about $6 a bottle, this is a good buy. It's made in the popular Chardonnay style, with pineapple, peach and spice flavors accented by smoky oak.",85,25.0,Chardonnay,Black Box,White,0.0,1.0
1933,Italy,"A whiff of wet stone joins varietal aromas of cut grass, tomato vine and tropical fruit in this round, fragrant white. The fresh, full-flavored palate offers pineapple, juicy grapefruit and honeydew melon notes cut with citrus. Tangy acidity adds brightness while an energizing mineral note lifts the finish.",90,22.0,Sauvignon,Kössler,White,0.0,1.0
1934,US,"Considered as a dessert wine, this Moscato is O.K. It has orange and vanilla pastry flavors, brightened by acidity. Don't even think about drinking it as a dry table wine, because it's very sweet.",84,7.0,Moscato,CK Mondavi,White,0.0,1.0
1935,France,"This unoaked Chardonnay has some sligtly nutty qualities on the nose, allied to a bit of peach. It's unabashedly ripe, a bit heavy and alcholic, but at least it offers more texture than your typical Pays d'Oc Chard. Pear and spice flavors round out the package.",84,8.0,Chardonnay,Tortoise Creek,White,0.0,1.0
1936,US,"Thin and watery, with acid-driven grapefruit and sour gooseberry flavors.",82,14.0,Sauvignon Blanc,Ancient Peaks,White,0.0,1.0
1937,New Zealand,"It's nice to see this historic winery finally being represented in the United States. This offers scents of toasted grain, smoke, citrus and just a hint of butter before it hits the palate with ample weight and a slightly creamy texture. A bit woody and smoky, but nice in that style. Drink now.",88,16.0,Chardonnay,Mission Estate,White,0.0,1.0
1938,New Zealand,"This one falls squarely into the white-grapefruit and lime category. Quite herbal, with an outright green streak in the midpalate. Good tropical-fruit core, and round. Easy to drink, not piercing, and a little metallic. There's a basil-oregano note to the finish.",88,15.0,Sauvignon Blanc,Tohu,White,0.0,1.0
1939,Spain,"Gets off the mark a bit chunky and soft, with heavier than usual peach and melon aromas. Melon, papaya and green banana carry the plump, full-bodied palate to a soft, easy, almost shy finish. Weighty for Verdejo.",84,9.0,Verdejo,Mar de Castilla,White,0.0,1.0
1940,US,"What an aromatic wine this is. It's brimming with wildflower, honey, tropical fruit and vanilla scents, and those flavors reprise in the mouth. The wine is slightly spritzy and off-dry.",84,9.0,Riesling,Fetzer,White,0.0,1.0
1941,US,"his off-dry wine has a sugary touch with flavors of ripe apricots, oranges and peaches, along with the acidity and petrol notes that Riesling is famous for.",84,12.0,Riesling,Mirassou,White,0.0,1.0
1942,Greece,"This fuller-bodied white dessert wine starts with a creamy, nutty aroma, followed by pretty honey and spice on the palate. A balanced touch keeps the wine from any heaviness on the tongue. Drink alongside a plate of fruit or even consider drizzling over a pound cake.",85,11.0,Muscat,Achaia Clauss,White,0.0,1.0
1943,US,"This pleasant blend of Sauvignon Blanc, Chardonnay and Riesling has the flesh, the fruit and the bracing acidity to be a fine summer sipper. Peaches and herb (not the singing duo!) dominate, with a fresh, fleshy finish.",87,12.0,White Blend,Saint Laurent,White,0.0,1.0
1944,France,"From a vineyard planted with almost 7,000 vines per acre, and with low yields (2 bunches) per vine, you would expect concentration. And the wine is hugely perfumed, very aromatic, the fruit flavored with essence of green plum and grapefruit juice. It's the sort of wine that needs at least 3–4 years aging.",93,99.0,Sauvignon Blanc,Château de Tracy,White,0.0,1.0
1945,France,"Full-bodied, broad and a bit oily in texture, this concentrated old-vine Marsanne seems a bit evolved, with open aromas of honeyed fruit and truffle backed by citrusy fruit and a hint of anise. Long and intense on the finish. Drink now.",88,60.0,Marsanne,Cave de Tain,White,0.0,1.0
1946,France,"Intensely perfumed, this supremely ripe wine has kept all the dense structure of the Les Clos vineyard. Here is an impressive mix of tight structure, ripe pear and citrus, layered with toast and great juicy acidity. Age for 4–5 years. Screwcap.",94,120.0,Chardonnay,Domaine Laroche,White,0.0,1.0
1947,US,"King Estate's new high end Domaine wines, organically grown and certified, are off to a great start with this exceptional pinot gris. Stone fruits and citrus peel flavors dominate, layered and textural. The fruit is fleshy but not fat, with pear, papaya and mixed tropical highlights, and a crisp, snappy, clean finish.",91,25.0,Pinot Gris,King Estate,White,0.0,1.0
1948,US,"Barrel-fermented in 100% new oak, this is very full-bodied, a little too much so, as the citrus, fig and yeast flavors get bogged down with their own weight. Try instead another new release from the same proprietor, dubbed Le Petit Coquerel.",85,50.0,Sauvignon Blanc,Terroir Coquerel,White,0.0,1.0
1949,Australia,"Pretty down-the-line as value-priced Chards go: Has buttery, creamy aromas, and peach, apple and oak flavors. No surprises here; good and correct.",84,6.0,Chardonnay,Kanga Reserve,White,0.0,1.0
1950,Italy,"This Sauvignon offers a different aromatic profile than you'd expect with field flower, dried hay and a touch of hazelnut. It tastes creamy and soft in the mouth with a touch of sweetness and long, tasty peach on the close.",85,17.0,Sauvignon,Foffani,White,0.0,1.0
1951,Italy,"Alluring aromas of Spanish broom, lemon and orchard fruit lead the nose while the juicy palate doles out mature peach, nectarine zest, toasted hazelnut and flinty mineral. Bright acidity lifts the rich flavors.",89,27.0,Fiano,Di Meo,White,0.0,1.0
1952,US,"This is a real New Zealand-style Sauvignon Blanc. It's dry and tart, with rich gooseberry, lime, green apple, Asian pear, vanilla and white pepper flavors. A touch of oak brings a pleasant, buttery toastiness. The grapes come from the cool Arroyo Seco AVA and the warm San Lucas AVA, a brilliant blending decision that makes this wine especially balanced.",89,16.0,Sauvignon Blanc,Morgan,White,0.0,1.0
1953,New Zealand,"Tropically fruity, with passion fruit and pineapple notes on the nose that persist all the way through the slightly sweet finish.",84,15.0,Sauvignon Blanc,Tohu,White,0.0,1.0
1954,Germany,"In the house style, this is rather lush and sweet for its prädikat. Candied pineapple notes anchor the bouquet, lightly garnished with hints of crushed stone. Flavors continue along the same theme, adding notes of tropical fruit and superripe pears. Approachable now; it should firm up a little with age.",89,27.0,Riesling,Dr. Pauly Bergweiler,White,0.0,1.0
1955,Chile,"Here's a wine that advertises the Casablanca formula: pink grapefruit and orange on the nose, followed by lemon fruit with a fair amount of bitter zest. Being so citrusy, the finish is lasting albeit monotone. Fails to offer any richness.",84,12.0,Chardonnay,Santa Rita,White,0.0,1.0
1956,Spain,"Clean and fresh, this features largely neutral, mineral-driven aromas that hint at white fruit and melon. Citrus, particularly white grapefruit, is the lead flavor, while background notes of pith, melon and green banana make appearances. Fresh, crisp and nice on the finish.",88,20.0,Albariño,Finca de Arantei,White,0.0,1.0
1957,France,"This rounded, ripe SB makes the most of its peach and tropical fruit flavors. Green plums lend structure to this soft wine, but there's a full, crisp aftertaste. Screwcap.",86,12.0,Sauvignon Blanc,Remy-Pannier,White,0.0,1.0
1958,US,"Lees and new oak seem to prevail in this wine, giving it a yeasty, caramelized taste that overpowers the fruit, which seems just fine in pineapples, peaches and limes.",84,35.0,Chardonnay,Clos La Chance,White,0.0,1.0
1959,US,"The nose here delivers a hefty dose of meaty, smoky, nutty notes paired with mild pear and apple. The palate doesn't show complexity—a pronounced toasted oak rides hard on apple and pineapple fruit. It's balanced and finishes dry, but comes up wanting the desired texture and nuance.",85,34.0,Chardonnay,M. Cosentino,White,0.0,1.0
1960,Austria,"The acidity is still there in this now-mature wine, keeping it lively while all the mature flavors swirl around. Pepper and richness combine, while sweetness has lost to intense power and concentration. There is a flavor of toast, of dark toffee leaving a rich, almost dry aftertaste.",93,40.0,White Blend,Feiler-Artinger,White,0.0,1.0
1961,US,"Plump Meyer lemon aromas meet rounded coconut, pineapple cream and honeysuckle on the nose of this bottling from the pioneering Franscioni family. On the palate, it's tightly wound, needing a second to breathe before revealing a sharp lemon peel freshness that cuts through the peachy fruit flavors.",91,45.0,Chardonnay,Roar,White,0.0,1.0
1962,Canada,"This wine is the vinous equivalent of biting into a ripe, juicy mango that has been drizzled with honey. It's viscous and full in feel, loaded with tropical flavors that linger on the finish. Perhaps a bit one note but represents it well.",92,70.0,Riesling,Stratus,White,0.0,1.0
1963,US,"Oak dominates this wine, with buttered toast and vanilla aromas and flavors. It's a little obvious, but there's a solid core of pineapple fruit, and plenty of racy acidity. Exotic; a Chardonnay to drink now.",89,26.0,Chardonnay,Pessagno,White,0.0,1.0
1964,US,"Pretty, pale and poised, this offers light pear flavors with a touch of cinnamon. Snappy acidity and a clean, fresh finish all contribute.",88,12.0,Pinot Gris,Château Bianca,White,0.0,1.0
1965,South Africa,"Moderate white stone fruit aromas lead to greener flavors of asparagus,  edamame and gooseberry. This is a wine with a lot of kick, but finishes on the tangy side. Imported by Vineyard Brands.",85,18.0,Sauvignon Blanc,Neil Ellis,White,0.0,1.0
1966,Portugal,"A wood-aged white with light toast character to complement the creamy pear and melon flavors. It is full in the mouth, rounded and soft.",86,10.0,Portuguese White,J. Portugal Ramos,White,0.0,1.0
1967,France,"Fresh, juicy, tart but ripe apple fruit characterizes nose and palate. This is dry and utterly appetizing, racy and fresh, yet full of that apple juiciness, made all the more lively by lemon zest notes and a hint of spicy honey. A wine that is alive through and through and still very primary. This is dry and slender and will develop. Drink 2016–2025.",93,43.0,Riesling,Domaine Bott-Geyl,White,0.0,1.0
1968,US,A lively blend of citrus and baked-apple flavors that are clean and spicy on the finish.  Simple and fresh.,85,9.0,Chenin Blanc,Alexander Valley Vineyards,White,0.0,1.0
1969,France,"The toast shows through strongly in this wine, giving a burnt edge. At the same time, the delicious fruit with its flavors of peach and green plum, is rich enough to develop well and produce a balanced wine.",90,50.0,Chardonnay,Domaine Vrignaud,White,0.0,1.0
1970,US,"The label includes the words “Original Vines” written along the side, a nod to the history of this limited reserve, gleaned from vines planted by founder David Lett in 1965. It's steely and sharp edged, with sculpted fruit and limited use of new oak. Cellarworthy and distinctive, this wine rewards your attention and patience with unexpected layers of detail.",91,47.0,Chardonnay,The Eyrie Vineyards,White,0.0,1.0
1971,US,"What went wrong in the making of this wine was excessive sugar. It's so sweet, it's off-dry, a serious flaw in a table wine, and a disservice to consumers who expect a Sauvignon Blanc to be dry.",80,18.0,Sauvignon Blanc,Gann,White,0.0,1.0
1972,Italy,"This is a rich and well-concentrated Pinot Grigio that feels great in the mouth. On the nose an otherwise pristine bouquet is accented by apricot, honey, Golden Delicious apple and pear.",86,18.0,Pinot Grigio,Marco Felluga,White,0.0,1.0
1973,Spain,"Simply delicious white wine with lip-smacking freshness, bright peach and apple flavors, and clarity from front to back. It's a little leesy but a lot more crisp and oceanic, with a well-cut body and mild citrus undertones throughout.",90,15.0,Albariño,Burgáns,White,0.0,1.0
1974,US,"Full-bodied and oaky, this Chard delivers an action-packed punch of flavor. The peaches, pears, pineapples, vanilla custard and smoky vanilla are so rich, they finish like honey. But the wine is actually dry.",88,30.0,Chardonnay,Edna Valley Vineyard,White,0.0,1.0
1975,US,"Sweet oak dominates, making it taste like buttered toast dipped into wine. The pineapple and orange fruit underneath all that wood is just fine.",84,25.0,Chardonnay,VML,White,0.0,1.0
1976,US,"Richly aromatic, this offers notes of honeysuckle, nectarine and vanilla (18% new oak). It's full bodied with abundant stone fruit flavors and light oak accents with a touch of bitterness on the finish.",89,22.0,Viognier,Bergevin Lane,White,0.0,1.0
1977,Australia,"Forward and fruity, with peach, pear and pineapple flavors of modest intensity. This medium-bodied wine is squeaky clean, just hinting at dried spices on the finish.",85,18.0,Chardonnay,Grant Burge,White,0.0,1.0
1978,New Zealand,"This wine's pungent bouquet comes close to resembling ammonia in its sweatry intensity, yet it rounds out surprisingly well on the palate, where melon fruit and a touch of sweetness emerges. Drink up.",84,14.0,Sauvignon Blanc,Mount Fishtail,White,0.0,1.0
1979,Austria,"This great vineyard shows through in the quality of this intensely perfumed wine, all white fruits, just a hint vegetal, with green peas. The structure is all here, as is the citrus fresh aftertaste.",89,32.0,Riesling,Jurtschitsch,White,0.0,1.0
1980,Australia,"Getting past the nose, with black pepper, pickle and lactic aromas, takes some doing; but once you do, the flavors are  fine. White stone fruit dominates, couched in a puffy, soft feel. Finishes with a lemon meringue note. Imported by Importicos Inc.",83,10.0,Chardonnay,Blue Tongue,White,0.0,1.0
